algorithm,scenario_id,t,T,x,z,a,B_accept,g_proposals,h_proposals,total_proposals,acceptance_rate,mean_proposals_per_draw,median_proposals_per_draw,B_time,timing_reps,elapsed_median_sec,elapsed_mean_sec,elapsed_sd_sec,sec_per_draw_median,acceptance_seed
3,67,0.1,3.0,0.525,1.0,2.0,2000,15718,0,15718,0.1272426517368622,7.859,6.0,10000,1,1.0476773750000348,1.0476773750000348,,0.00010476773750000347,100067
3,68,1.0,3.0,0.525,1.0,2.0,2000,13936,0,13936,0.14351320321469574,6.968,5.0,10000,1,1.2926448750000077,1.2926448750000077,,0.00012926448750000076,100068
3,69,1.5,3.0,0.525,1.0,2.0,2000,13843,0,13843,0.14447735317488983,6.9215,5.0,10000,1,2.11986399999995,2.11986399999995,,0.000211986399999995,100069
3,70,2.0,3.0,0.525,1.0,2.0,2000,9913,0,9913,0.20175527085645112,4.9565,4.0,10000,1,0.9306877079999936,0.9306877079999936,,9.306877079999936e-05,100070
3,71,2.5,3.0,0.525,1.0,2.0,2000,10038,0,10038,0.19924287706714486,5.019,4.0,10000,1,0.8553577910000172,0.8553577910000172,,8.553577910000172e-05,100071
3,72,2.9,3.0,0.525,1.0,2.0,2000,8812,0,8812,0.22696323195642307,4.406,3.0,10000,1,0.6077473340000097,0.6077473340000097,,6.077473340000097e-05,100072
3,73,0.1,3.0,1.0,1.0,2.0,2000,12341,0,12341,0.1620614212786646,6.1705,5.0,10000,1,0.862138458000004,0.862138458000004,,8.62138458000004e-05,100073
3,74,1.0,3.0,1.0,1.0,2.0,2000,13761,0,13761,0.1453382748346777,6.8805,5.0,10000,1,1.272171042000025,1.272171042000025,,0.0001272171042000025,100074
3,75,1.5,3.0,1.0,1.0,2.0,2000,13923,0,13923,0.14364720247073187,6.9615,5.0,10000,1,2.7463306249999846,2.7463306249999846,,0.00027463306249999843,100075
3,76,2.0,3.0,1.0,1.0,2.0,2000,14226,0,14226,0.14058765640376775,7.113,5.0,10000,1,1.2563511660000017,1.2563511660000017,,0.00012563511660000016,100076
3,77,2.5,3.0,1.0,1.0,2.0,2000,14074,0,14074,0.14210601108426887,7.037,5.0,10000,1,1.2007901659999902,1.2007901659999902,,0.00012007901659999902,100077
3,78,2.9,3.0,1.0,1.0,2.0,2000,12756,0,12756,0.15678896205707119,6.378,5.0,10000,1,0.8427837500000237,0.8427837500000237,,8.427837500000237e-05,100078
3,79,0.1,3.0,1.4749999999999999,1.0,2.0,2000,15614,0,15614,0.1280901754835404,7.807,6.0,10000,1,1.0641826670000114,1.0641826670000114,,0.00010641826670000114,100079
3,80,1.0,3.0,1.4749999999999999,1.0,2.0,2000,14159,0,14159,0.14125291334133766,7.0795,5.0,10000,1,1.2636404579999976,1.2636404579999976,,0.00012636404579999976,100080
3,81,1.5,3.0,1.4749999999999999,1.0,2.0,2000,13836,0,13836,0.14455044810638912,6.918,5.0,10000,1,2.1149843329999953,2.1149843329999953,,0.00021149843329999955,100081
3,82,2.0,3.0,1.4749999999999999,1.0,2.0,2000,27640,0,27640,0.0723589001447178,13.82,10.0,10000,1,2.40758787499999,2.40758787499999,,0.000240758787499999,100082
3,83,2.5,3.0,1.4749999999999999,1.0,2.0,2000,28400,0,28400,0.07042253521126761,14.2,10.0,10000,1,2.0401446660000033,2.0401446660000033,,0.00020401446660000034,100083
3,84,2.9,3.0,1.4749999999999999,1.0,2.0,2000,25890,0,25890,0.0772499034376207,12.945,9.0,10000,1,1.7177433329999872,1.7177433329999872,,0.0001717743332999987,100084
3,85,0.1,3.0,1.95,1.0,2.0,2000,19109,0,19109,0.10466272437071537,9.5545,7.0,10000,1,1.4656177499999785,1.4656177499999785,,0.00014656177499999785,100085
3,86,1.0,3.0,1.95,1.0,2.0,2000,13658,0,13658,0.1464343242055938,6.829,5.0,10000,1,1.2537914590000128,1.2537914590000128,,0.0001253791459000013,100086
3,87,1.5,3.0,1.95,1.0,2.0,2000,13571,0,13571,0.14737307493920862,6.7855,5.0,10000,1,2.483162708000009,2.483162708000009,,0.0002483162708000009,100087
3,88,2.0,3.0,1.95,1.0,2.0,2000,349879,0,349879,0.005716261907688086,174.9395,118.5,10000,1,29.422147249999966,29.422147249999966,,0.0029422147249999965,100088
3,89,2.5,3.0,1.95,1.0,2.0,2000,344031,0,344031,0.005813429603727571,172.0155,122.0,10000,1,23.896614708000016,23.896614708000016,,0.0023896614708000014,100089
3,90,2.9,3.0,1.95,1.0,2.0,2000,296319,0,296319,0.00674948282087885,148.1595,100.0,10000,1,21.040456833999997,21.040456833999997,,0.0021040456833999995,100090
3,91,0.1,3.0,0.05,1.4749999999999999,2.0,2000,40325,0,40325,0.04959702417854929,20.1625,14.0,10000,1,2.9344434170000113,2.9344434170000113,,0.00029344434170000116,100091
3,92,1.0,3.0,0.05,1.4749999999999999,2.0,2000,28256,0,28256,0.07078142695356739,14.128,10.0,10000,1,2.276135207999971,2.276135207999971,,0.0002276135207999971,100092
3,93,1.5,3.0,0.05,1.4749999999999999,2.0,2000,27324,0,27324,0.0731957253696384,13.662,9.0,10000,1,4.869352124999978,4.869352124999978,,0.00048693521249999777,100093
3,94,2.0,3.0,0.05,1.4749999999999999,2.0,2000,8969,0,8969,0.2229902999219534,4.4845,3.0,10000,1,0.9448345000000131,0.9448345000000131,,9.448345000000132e-05,100094
3,95,2.5,3.0,0.05,1.4749999999999999,2.0,2000,8517,0,8517,0.23482446870963955,4.2585,3.0,10000,1,0.8727933749999579,0.8727933749999579,,8.72793374999958e-05,100095
3,96,2.9,3.0,0.05,1.4749999999999999,2.0,2000,9780,0,9780,0.20449897750511248,4.89,4.0,10000,1,0.6718354579999755,0.6718354579999755,,6.718354579999755e-05,100096
3,97,0.1,3.0,0.525,1.4749999999999999,2.0,2000,31259,0,31259,0.06398157330688761,15.6295,11.0,10000,1,2.1265463749999753,2.1265463749999753,,0.00021265463749999753,100097
3,98,1.0,3.0,0.525,1.4749999999999999,2.0,2000,28177,0,28177,0.07097987720481244,14.0885,10.0,10000,1,2.3395971250000116,2.3395971250000116,,0.00023395971250000117,100098
3,99,1.5,3.0,0.525,1.4749999999999999,2.0,2000,28274,0,28274,0.07073636556553724,14.137,10.0,10000,1,4.160496500000022,4.160496500000022,,0.0004160496500000022,100099
3,100,2.0,3.0,0.525,1.4749999999999999,2.0,2000,10064,0,10064,0.1987281399046105,5.032,4.0,10000,1,0.926535916999967,0.926535916999967,,9.265359169999669e-05,100100
3,101,2.5,3.0,0.525,1.4749999999999999,2.0,2000,10228,0,10228,0.19554165037152912,5.114,4.0,10000,1,0.9535987919999798,0.9535987919999798,,9.535987919999798e-05,100101
3,102,2.9,3.0,0.525,1.4749999999999999,2.0,2000,11508,0,11508,0.1737921445950643,5.754,4.0,10000,1,0.7552908340000499,0.7552908340000499,,7.552908340000499e-05,100102
3,103,0.1,3.0,1.0,1.4749999999999999,2.0,2000,23233,0,23233,0.08608444884431628,11.6165,8.0,10000,1,1.7290522090000309,1.7290522090000309,,0.0001729052209000031,100103
3,104,1.0,3.0,1.0,1.4749999999999999,2.0,2000,27440,0,27440,0.0728862973760933,13.72,9.0,10000,1,2.3715653749999888,2.3715653749999888,,0.00023715653749999889,100104
3,105,1.5,3.0,1.0,1.4749999999999999,2.0,2000,27921,0,27921,0.0716306722538591,13.9605,10.0,10000,1,5.4904757080000195,5.4904757080000195,,0.000549047570800002,100105
3,106,2.0,3.0,1.0,1.4749999999999999,2.0,2000,13760,0,13760,0.14534883720930233,6.88,5.0,10000,1,1.2917613750000214,1.2917613750000214,,0.00012917613750000213,100106
3,107,2.5,3.0,1.0,1.4749999999999999,2.0,2000,13744,0,13744,0.14551804423748546,6.872,5.0,10000,1,1.3222475420000137,1.3222475420000137,,0.00013222475420000137,100107
3,108,2.9,3.0,1.0,1.4749999999999999,2.0,2000,15137,0,15137,0.13212657726101606,7.5685,5.0,10000,1,1.0635748330000183,1.0635748330000183,,0.00010635748330000184,100108
3,109,0.1,3.0,1.4749999999999999,1.4749999999999999,2.0,2000,29421,0,29421,0.06797865470242344,14.7105,10.0,10000,1,2.1048507499999687,2.1048507499999687,,0.00021048507499999686,100109
3,110,1.0,3.0,1.4749999999999999,1.4749999999999999,2.0,2000,28026,0,28026,0.07136230642974381,14.013,10.0,10000,1,2.35218825000004,2.35218825000004,,0.000235218825000004,100110
3,111,1.5,3.0,1.4749999999999999,1.4749999999999999,2.0,2000,27908,0,27908,0.07166403898523721,13.954,10.0,10000,1,4.172587041999975,4.172587041999975,,0.0004172587041999975,100111
3,112,2.0,3.0,1.4749999999999999,1.4749999999999999,2.0,2000,26961,0,26961,0.07418122473202032,13.4805,10.0,10000,1,2.4353747079999835,2.4353747079999835,,0.00024353747079999835,100112
3,113,2.5,3.0,1.4749999999999999,1.4749999999999999,2.0,2000,28584,0,28584,0.06996921354603974,14.292,10.0,10000,1,2.304396708000013,2.304396708000013,,0.0002304396708000013,100113
3,114,2.9,3.0,1.4749999999999999,1.4749999999999999,2.0,2000,33204,0,33204,0.060233706782315384,16.602,11.0,10000,1,2.159120625000014,2.159120625000014,,0.00021591206250000142,100114
3,115,0.1,3.0,1.95,1.4749999999999999,2.0,2000,40842,0,40842,0.04896919837422262,20.421,14.0,10000,1,2.8881858330000227,2.8881858330000227,,0.00028881858330000225,100115
3,116,1.0,3.0,1.95,1.4749999999999999,2.0,2000,27434,0,27434,0.07290223809870963,13.717,9.0,10000,1,2.265438458999995,2.265438458999995,,0.0002265438458999995,100116
3,117,1.5,3.0,1.95,1.4749999999999999,2.0,2000,28092,0,28092,0.07119464616260857,14.046,10.0,10000,1,4.835621625000044,4.835621625000044,,0.00048356216250000444,100117
3,118,2.0,3.0,1.95,1.4749999999999999,2.0,2000,354305,0,354305,0.005644854009963167,177.1525,127.0,10000,1,28.654906666999977,28.654906666999977,,0.0028654906666999978,100118
3,119,2.5,3.0,1.95,1.4749999999999999,2.0,2000,348031,0,348031,0.005746614525717537,174.0155,118.0,10000,1,26.328968416000066,26.328968416000066,,0.0026328968416000067,100119
3,120,2.9,3.0,1.95,1.4749999999999999,2.0,2000,380745,0,380745,0.0052528595254041415,190.3725,130.0,10000,1,25.42256025000006,25.42256025000006,,0.002542256025000006,100120
3,121,0.1,3.0,0.05,1.95,2.0,2000,515356,0,515356,0.003880812486902258,257.678,179.5,10000,1,36.42380283300008,36.42380283300008,,0.003642380283300008,100121
3,122,1.0,3.0,0.05,1.95,2.0,2000,333486,0,333486,0.005997253258007832,166.743,114.0,10000,1,27.88772054200001,27.88772054200001,,0.002788772054200001,100122
3,123,1.5,3.0,0.05,1.95,2.0,2000,340453,0,340453,0.005874525999183441,170.2265,116.0,10000,1,59.95417425000005,59.95417425000005,,0.005995417425000005,100123
3,124,2.0,3.0,0.05,1.95,2.0,2000,9144,0,9144,0.21872265966754156,4.572,3.0,10000,1,0.9146083330000465,0.9146083330000465,,9.146083330000465e-05,100124
3,125,2.5,3.0,0.05,1.95,2.0,2000,8691,0,8691,0.23012311586698883,4.3455,3.0,10000,1,0.7834631670000363,0.7834631670000363,,7.834631670000362e-05,100125
3,126,2.9,3.0,0.05,1.95,2.0,2000,12603,0,12603,0.15869237483138934,6.3015,4.0,10000,1,0.941313750000063,0.941313750000063,,9.41313750000063e-05,100126
3,127,0.1,3.0,0.525,1.95,2.0,2000,388157,0,388157,0.005152554249955559,194.0785,134.0,10000,1,25.725472749999994,25.725472749999994,,0.0025725472749999994,100127
3,128,1.0,3.0,0.525,1.95,2.0,2000,352515,0,352515,0.005673517438974228,176.2575,125.0,10000,1,29.60031070900004,29.60031070900004,,0.0029600310709000043,100128
3,129,1.5,3.0,0.525,1.95,2.0,2000,345878,0,345878,0.005782385696690741,172.939,124.0,10000,1,51.777868291000004,51.777868291000004,,0.005177786829100001,100129
3,130,2.0,3.0,0.525,1.95,2.0,2000,9689,0,9689,0.20641965115078956,4.8445,3.0,10000,1,0.9088003339999204,0.9088003339999204,,9.088003339999204e-05,100130
3,131,2.5,3.0,0.525,1.95,2.0,2000,10235,0,10235,0.19540791402051783,5.1175,4.0,10000,1,0.863311834000001,0.863311834000001,,8.63311834000001e-05,100131
3,132,2.9,3.0,0.525,1.95,2.0,2000,14860,0,14860,0.13458950201884254,7.43,5.0,10000,1,1.0443478330000744,1.0443478330000744,,0.00010443478330000744,100132
