algorithm,scenario_id,t,x,z,repetition,B_time,timing_seed,elapsed_sec
3,99,1.5,0.525,1.4749999999999999,1,10000,209901,4.160496500000022
3,100,2.0,0.525,1.4749999999999999,1,10000,210001,0.926535916999967
3,101,2.5,0.525,1.4749999999999999,1,10000,210101,0.9535987919999798
3,102,2.9,0.525,1.4749999999999999,1,10000,210201,0.7552908340000499
3,103,0.1,1.0,1.4749999999999999,1,10000,210301,1.7290522090000309
3,104,1.0,1.0,1.4749999999999999,1,10000,210401,2.3715653749999888
3,105,1.5,1.0,1.4749999999999999,1,10000,210501,5.4904757080000195
3,106,2.0,1.0,1.4749999999999999,1,10000,210601,1.2917613750000214
3,107,2.5,1.0,1.4749999999999999,1,10000,210701,1.3222475420000137
3,108,2.9,1.0,1.4749999999999999,1,10000,210801,1.0635748330000183
3,109,0.1,1.4749999999999999,1.4749999999999999,1,10000,210901,2.1048507499999687
3,110,1.0,1.4749999999999999,1.4749999999999999,1,10000,211001,2.35218825000004
3,111,1.5,1.4749999999999999,1.4749999999999999,1,10000,211101,4.172587041999975
3,112,2.0,1.4749999999999999,1.4749999999999999,1,10000,211201,2.4353747079999835
3,113,2.5,1.4749999999999999,1.4749999999999999,1,10000,211301,2.304396708000013
3,114,2.9,1.4749999999999999,1.4749999999999999,1,10000,211401,2.159120625000014
3,115,0.1,1.95,1.4749999999999999,1,10000,211501,2.8881858330000227
3,116,1.0,1.95,1.4749999999999999,1,10000,211601,2.265438458999995
3,117,1.5,1.95,1.4749999999999999,1,10000,211701,4.835621625000044
3,118,2.0,1.95,1.4749999999999999,1,10000,211801,28.654906666999977
3,119,2.5,1.95,1.4749999999999999,1,10000,211901,26.328968416000066
3,120,2.9,1.95,1.4749999999999999,1,10000,212001,25.42256025000006
3,121,0.1,0.05,1.95,1,10000,212101,36.42380283300008
3,122,1.0,0.05,1.95,1,10000,212201,27.88772054200001
3,123,1.5,0.05,1.95,1,10000,212301,59.95417425000005
3,124,2.0,0.05,1.95,1,10000,212401,0.9146083330000465
3,125,2.5,0.05,1.95,1,10000,212501,0.7834631670000363
3,126,2.9,0.05,1.95,1,10000,212601,0.941313750000063
3,127,0.1,0.525,1.95,1,10000,212701,25.725472749999994
3,128,1.0,0.525,1.95,1,10000,212801,29.60031070900004
3,129,1.5,0.525,1.95,1,10000,212901,51.777868291000004
3,130,2.0,0.525,1.95,1,10000,213001,0.9088003339999204
3,131,2.5,0.525,1.95,1,10000,213101,0.863311834000001
3,132,2.9,0.525,1.95,1,10000,213201,1.0443478330000744
3,133,0.1,1.0,1.95,1,10000,213301,20.98085929199999
3,134,1.0,1.0,1.95,1,10000,213401,28.538181957999996
3,135,1.5,1.0,1.95,1,10000,213501,67.09685962500009
3,136,2.0,1.0,1.95,1,10000,213601,1.2381937919999473
3,137,2.5,1.0,1.95,1,10000,213701,1.1829763750000666
