t,y,theory_density,kde_density
0.2,1.365,0.2087205021654171,0.2145186382376201
0.2,1.37,0.20320502300654988,0.2096038056483673
0.2,1.375,0.19779287724429476,0.20474601720425994
0.2,1.3800000000000001,0.19248342112906683,0.19994638556373567
0.2,1.385,0.1872759722173855,0.19520351682368497
0.2,1.3900000000000001,0.18216981082820885,0.1905136506907298
0.2,1.395,0.17716418149332183,0.18587098995331267
0.2,1.4000000000000001,0.17225829440051674,0.18126819063051614
0.2,1.405,0.16745132682835628,0.1766969739696318
0.2,1.41,0.16274242457134983,0.17214881397333057
0.2,1.415,0.15813070335440943,0.1676156497194491
0.2,1.42,0.15361525023549458,0.16309057060669108
0.2,1.425,0.1491951249953992,0.15856842488859213
0.2,1.43,0.14486936151367324,0.15404630736487346
0.2,1.435,0.14063696912970647,0.14952389063508742
0.2,1.44,0.1364969339880657,0.1450035754503433
0.2,1.445,0.1324482203671863,0.14049044879343478
0.2,1.45,0.12848977199059133,0.1359920525506198
0.2,1.455,0.12462051331983691,0.1315179800174203
0.2,1.46,0.12083935082842717,0.12707933090252765
0.2,1.465,0.11714517425598872,0.12268806682699322
0.2,1.47,0.11353685784203252,0.11835631750827418
0.2,1.475,0.11001326153866832,0.11409569201493547
0.2,1.48,0.10657323220169596,0.10991664913286603
0.2,1.485,0.10321560475950914,0.10582797585411229
0.2,1.49,0.09993920335931887,0.10183641359574475
0.2,1.495,0.09674284249022369,0.09794645874486538
0.2,1.5,0.09362532808269808,0.0941603486734728
0.2,1.5050000000000001,0.09058545858411686,0.09047822792960045
0.2,1.51,0.08762202600996159,0.08689847348209859
0.2,1.5150000000000001,0.08473381697039793,0.08341814422819789
0.2,1.52,0.08191961367195663,0.08003350980007404
0.2,1.5250000000000001,0.07917819489407123,0.0767406079912897
0.2,1.53,0.07650833694028275,0.07353577934812532
0.2,1.5350000000000001,0.07390881456393626,0.07041613158725882
0.2,1.54,0.07137840186824665,0.06737989495170939
0.2,1.545,0.06891587318063166,0.06442664141081218
0.2,1.55,0.06652000390125219,0.06155735445249604
0.2,1.555,0.0641895713257256,0.05877435066513732
0.2,1.56,0.06192335544201597,0.05608106793616584
0.2,1.565,0.059720139701527786,0.05348174664547957
0.2,1.57,0.057578711764467584,0.050981038726627965
0.2,1.575,0.055497864219561197,0.048583584288585425
0.2,1.58,0.05347639527824295,0.046293596403381286
