path,time,value
1,2.79,1.8499523767736887
1,2.8,1.6618357272418296
1,2.81,1.6683876380876022
1,2.82,1.4698124171913638
1,2.83,1.5019594675631025
1,2.84,1.6208910805353804
1,2.85,1.6535598585003282
1,2.86,1.5351980330785926
1,2.87,1.620621490759878
1,2.88,1.4991366139116504
1,2.89,1.62415463140117
1,2.9,1.7062180995381064
1,2.91,1.6227257419340668
1,2.92,1.4473490920427197
1,2.93,1.3750287576088125
1,2.94,1.413202954646649
1,2.95,1.5751892566328944
1,2.96,1.7374168546266273
1,2.97,1.873127631627979
1,2.98,1.8763139174717793
1,2.99,1.9060880462328131
1,3.0,2.0
2,0.0,0.5
2,0.01,0.4933530442514644
2,0.02,0.7467142769838848
2,0.03,0.8329467998528322
2,0.04,0.9029050343470981
2,0.05,0.889822952329904
2,0.06,0.8555966316213489
2,0.07,0.6706430127733313
2,0.08,0.6989251871891132
2,0.09,0.8038089394367697
2,0.1,0.7948860323912267
2,0.11,0.8653940564918867
2,0.12,0.7978914156556368
2,0.13,0.812674457944172
2,0.14,0.8726779777242419
2,0.15,1.0260550339762493
2,0.16,1.068437364638205
2,0.17,0.9995565768116488
2,0.18,1.1393049055397515
2,0.19,1.3927467855071574
2,0.2,1.433685665732102
2,0.21,1.6397898064915837
2,0.22,1.7729793659373083
2,0.23,1.716525967253887
2,0.24,1.6929860710393911
2,0.25,1.549438089719093
2,0.26,1.6309904090247642
2,0.27,1.6174042846150027
2,0.28,1.8008927424888714
2,0.29,1.773354348718511
2,0.3,1.9430063991246291
2,0.31,1.7658367071543135
2,0.32,1.6606596204758515
2,0.33,1.659748418114469
2,0.34,1.7238238776613688
2,0.35,1.6675919650969029
2,0.36,1.767936567610821
2,0.37,1.8379270494495263
2,0.38,1.8936493831056371
2,0.39,1.853775508904647
2,0.4,1.8370642350860742
2,0.41,1.7540485257997294
2,0.42,1.7983373139874008
2,0.43,1.7423140864985271
2,0.44,1.5306271339277626
2,0.45,1.316849797759295
2,0.46,1.1904433817784477
2,0.47,1.3783184340857735
2,0.48,1.1757229107609672
2,0.49,1.2158932848914263
2,0.5,1.0586465680106876
2,0.51,0.8590880711503672
2,0.52,0.964708888013951
2,0.53,0.7332279144882901
2,0.54,0.7858175337681929
2,0.55,0.7955908548754218
2,0.56,0.7595395072263333
2,0.57,0.798651294212811
2,0.58,0.9962898160154319
2,0.59,1.0841710300952854
2,0.6,1.2714504628302383
2,0.61,1.411966007867975
2,0.62,1.4654128416126166
2,0.63,1.5070186690969702
2,0.64,1.4661770120180289
2,0.65,1.5780927400361016
2,0.66,1.7479979403278234
2,0.67,1.7003677250427254
2,0.68,1.6651600284871875
2,0.69,1.6599047806126956
2,0.7,1.6584738344850463
2,0.71,1.7007143800975124
2,0.72,1.6719207786272363
2,0.73,1.4940316348524305
2,0.74,1.5756819455993791
2,0.75,1.5553824607381415
2,0.76,1.390527165286211
2,0.77,1.260024991710326
2,0.78,1.2556771614545201
2,0.79,1.2944793533894283
2,0.8,1.4662297724289741
2,0.81,1.5483487483132266
2,0.82,1.5259525853173144
2,0.83,1.5052232528566885
2,0.84,1.3520186751625425
2,0.85,1.3001510374810492
2,0.86,1.2362521317309974
2,0.87,1.2574948727999262
2,0.88,1.3139490851713203
2,0.89,1.281380081734163
2,0.9,1.3022011144479841
2,0.91,1.2253831655213316
2,0.92,1.1200094722806466
2,0.93,1.1202373445407505
2,0.94,1.1146779302290508
2,0.95,1.0444289367677249
2,0.96,1.0254929474698415
2,0.97,1.078626749047923
2,0.98,0.8592450776396094
2,0.99,0.7146722149918293
2,1.0,0.7663483185378073
2,1.01,0.6868288120055257
2,1.02,0.7089070332969933
2,1.03,0.8049468559312111
2,1.04,0.8569814851683278
2,1.05,1.0441160706224335
2,1.06,1.1358735008492507
2,1.07,1.2125444305120254
2,1.08,1.1955381063512736
2,1.09,1.2242572752316472
2,1.1,1.1151893413698728
2,1.11,1.209162179683731
2,1.12,1.2096902447898445
2,1.13,1.3185981091422307
2,1.14,1.2219222747746064
2,1.15,1.0770542708316366
2,1.16,1.1558988864267161
2,1.17,1.2005338143816013
2,1.18,1.3452622877382279
2,1.19,1.4000626019140059
2,1.2,1.2596455263167856
2,1.21,1.295471118327785
2,1.22,1.3345986088426027
2,1.23,1.383334932628466
2,1.24,1.4308891781035178
2,1.25,1.5827176762493087
2,1.26,1.5583265965116373
2,1.27,1.551132814003118
2,1.28,1.32418633472918
2,1.29,1.1204953673802966
2,1.3,0.9306977783866885
2,1.31,0.8771117080622269
2,1.32,0.8212849818950198
2,1.33,0.8875595152938548
2,1.34,0.8361982436248936
2,1.35,0.9170531962312061
2,1.36,0.9513628037106069
2,1.37,1.045092571503644
2,1.38,1.1293841591233336
2,1.39,0.9612648274581532
2,1.4,1.039669768423796
2,1.41,1.1684372554313889
2,1.42,1.1268060310501888
2,1.43,1.1769439680773837
2,1.44,1.3532871831812368
2,1.45,1.3577924920522373
2,1.46,1.4245380075853147
2,1.47,1.4565057408453281
2,1.48,1.6275278736081076
2,1.49,1.7108171586336525
2,1.5,1.6145473846732499
2,1.51,1.5631175791411545
2,1.52,1.5918130307683587
2,1.53,1.5474487283594578
2,1.54,1.6939239147284808
2,1.55,1.716758835470832
2,1.56,1.7005284659519717
2,1.57,1.6577188080717062
2,1.58,1.6027072852107949
2,1.59,1.6266314007109242
2,1.6,1.5627523155660237
2,1.61,1.643940109103043
2,1.62,1.5140371233834635
2,1.63,1.532191359981957
2,1.64,1.6497194422638248
2,1.65,1.5230766882470848
2,1.66,1.5759776497079685
2,1.67,1.5772002150954636
2,1.68,1.4160801143594395
2,1.69,1.372917874167412
2,1.7,1.433343302221557
2,1.71,1.398121816218163
2,1.72,1.317334441317275
2,1.73,1.4880405085262653
2,1.74,1.4330382311529477
2,1.75,1.582839414910879
2,1.76,1.644821666616404
2,1.77,1.6374082362099842
2,1.78,1.5832524383824538
2,1.79,1.6479726283265652
2,1.8,1.7425144371661112
2,1.81,1.685897860907148
2,1.82,1.511755419256196
2,1.83,1.435864738493878
2,1.84,1.2908627655735505
2,1.85,1.4497473025728542
2,1.86,1.3654247676050955
