panel,t,x,a,y,theory_density,kde_density
1,1.0,0.5,1.8,0.2808,0.42042838892090206,0.41422858729516554
1,1.0,0.5,1.8,0.2826,0.4228857094594085,0.4166551846373392
1,1.0,0.5,1.8,0.2844,0.42533856887019766,0.4190901937194706
1,1.0,0.5,1.8,0.2862,0.427786941756591,0.421534243682066
1,1.0,0.5,1.8,0.288,0.4302308027775951,0.4239879652681983
1,1.0,0.5,1.8,0.2898,0.43267012664819815,0.4264519889155064
1,1.0,0.5,1.8,0.29159999999999997,0.4351048881396655,0.42892694275579185
1,1.0,0.5,1.8,0.2934,0.43753506207983445,0.43141345052698754
1,1.0,0.5,1.8,0.2952,0.43996062335340735,0.4339121294027367
1,1.0,0.5,1.8,0.297,0.4423815469022445,0.4364235877454942
1,1.0,0.5,1.8,0.2988,0.44479780772565536,0.4389484227895273
1,1.0,0.5,1.8,0.3006,0.4472093808806894,0.4414872182608159
1,1.0,0.5,1.8,0.3024,0.44961624148242485,0.4440405419413504
1,1.0,0.5,1.8,0.30419999999999997,0.4520183647042577,0.4466089431858762
1,1.0,0.5,1.8,0.306,0.454415725778189,0.4491929503996734
1,1.0,0.5,1.8,0.3078,0.4568082999951106,0.45179306848642053
1,1.0,0.5,1.8,0.3096,0.45919606270509117,0.45440977627571416
1,1.0,0.5,1.8,0.3114,0.4615789893176597,0.4570435239403077
1,1.0,0.5,1.8,0.3132,0.4639570553020892,0.45969473041346476
1,1.0,0.5,1.8,0.315,0.4663302361876781,0.4623637808173568
1,1.0,0.5,1.8,0.31679999999999997,0.4686985075640319,0.4650510239137663
1,1.0,0.5,1.8,0.3186,0.4710618450813432,0.46775676958866463
1,1.0,0.5,1.8,0.3204,0.47342022445066945,0.4704812863825891
1,1.0,0.5,1.8,0.3222,0.47577362144421154,0.4732247990789879
1,1.0,0.5,1.8,0.324,0.47812201189559084,0.47598748636290805
1,1.0,0.5,1.8,0.3258,0.4804653717001238,0.47876947856259194
1,1.0,0.5,1.8,0.3276,0.4828036768150974,0.4815708554865813
1,1.0,0.5,1.8,0.32939999999999997,0.4851369032600415,0.48439164436909904
1,1.0,0.5,1.8,0.3312,0.48746502711700257,0.4872318179363694
1,1.0,0.5,1.8,0.333,0.4897880245308127,0.49009129260643797
1,1.0,0.5,1.8,0.3348,0.4921058717093623,0.492969926835078
1,1.0,0.5,1.8,0.3366,0.494418544923867,0.4958675196198738
1,1.0,0.5,1.8,0.3384,0.4967260205091361,0.49878380917455245
1,1.0,0.5,1.8,0.3402,0.4990282748638401,0.5017184717850797
1,1.0,0.5,1.8,0.34199999999999997,0.5013252844507746,0.5046711208586431
1,1.0,0.5,1.8,0.3438,0.5036170257971263,0.5076413061761565
1,1.0,0.5,1.8,0.3456,0.5059034754947358,0.5106285133582169
1,1.0,0.5,1.8,0.3474,0.5081846102003593,0.5136321635538246
1,1.0,0.5,1.8,0.3492,0.5104604066359306,0.5166516133603841
1,1.0,0.5,1.8,0.351,0.5127308415888199,0.5196861549825973
1,1.0,0.5,1.8,0.3528,0.5149958919120932,0.5227350166370149
1,1.0,0.5,1.8,0.35459999999999997,0.5172555345247699,0.5257973632079043
1,1.0,0.5,1.8,0.3564,0.5195097464120793,0.5288722971590567
1,1.0,0.5,1.8,0.35819999999999996,0.5217585046257147,0.5319588597050027
1,1.0,0.5,1.8,0.36,0.5240017862840898,0.5350560322438552
1,1.0,0.5,1.8,0.3618,0.5262395685725891,0.538162738052701
1,1.0,0.5,1.8,0.3636,0.5284718287438215,0.5412778442451998
1,1.0,0.5,1.8,0.3654,0.5306985441178698,0.5444001639895387
1,1.0,0.5,1.8,0.36719999999999997,0.5329196920825411,0.5475284589835677
1,1.0,0.5,1.8,0.369,0.535135250093614,0.5506614421824286
1,1.0,0.5,1.8,0.37079999999999996,0.5373451956750861,0.5537977807724779
1,1.0,0.5,1.8,0.3726,0.5395495064194198,0.5569360993838751
1,1.0,0.5,1.8,0.3744,0.5417481599877874,0.5600749835325732
1,1.0,0.5,1.8,0.3762,0.5439411341103134,0.5632129832810955
1,1.0,0.5,1.8,0.378,0.5461284065863187,0.5663486171058099
